Country,Province,Confirmed,Died,Recovered
Russia,"Nizhny Novgorod Oblast",57376,1260,51544
Russia,"Sverdlovsk Oblast",48622,1105,40870
Poland,"-",1063449,20089,706720
Indonesia,"-",575796,17740,474771
Germany,Bayern,229868,4291,167823
Germany,"Nordrhein-Westfalen",284815,3924,215744
Germany,"Baden-Wurttemberg",164843,3007,118282
Germany,Hessen,95954,1460,67539
Germany,Sachsen,68244,1279,41260
Germany,Niedersachsen,77575,1264,62929
Germany,Berlin,71088,683,49816
Germany,"Rheinland-Pfalz",49475,674,31563
Turkey,"-",828295,14900,431253
Ecuador,"-",197998,13778,174188
Iraq,"-",564200,12432,493567
Romania,"-",513576,12320,405612
Canada,Quebec,151599,7255,128828
Canada,Ontario,130184,3784,112544
Canada,Alberta,66730,596,47328
Chile,Metropolitana,307311,10424,294279
Bolivia,"-",145492,8992,124596
Czechia,"-",546259,8865,476710
Philippines,"-",439834,8554,408634
Netherlands,"Zuid-Holland",154813,2414,0
Netherlands,"Noord-Brabant",88647,2086,0
Netherlands,"Noord-Holland",99889,1331,0
Netherlands,Gelderland,56489,1088,0
Netherlands,Utrecht,47185,720,0
Pakistan,Punjab,122955,3162,99310
Pakistan,Sindh,182473,3011,158567
Pakistan,"Khyber Pakhtunkhwa",49220,1404,44167
Bangladesh,"-",477545,6838,395960
Egypt,"-",118014,6750,103324
Morocco,"-",379657,6245,331301
Ukraine,Kiev,79809,1425,25082
Ukraine,"Lviv Oblast",49831,1354,33125
Ukraine,"Dnipropetrovsk Oblast",44080,1029,26813
Ukraine,"Kharkiv Oblast",59285,803,38354
Ukraine,"Kiev Oblast",43219,744,15735
Ukraine,"Odessa Oblast",51148,660,14256
"Saudi Arabia","-",358713,5965,348879
Hungary,"-",250278,5868,71682
Switzerland,"-",344497,5344,260600
Portugal,"-",322474,4963,243055
Bulgaria,"-",160844,4729,60673
China,Hubei,68149,4512,63633
Guatemala,"-",125550,4250,114315
Austria,"-",303430,3840,252765
Sweden,Stockholm,82014,2793,0
Sweden,"Vastra Gotaland",45740,1032,0
Tunisia,"-",102991,3526,76441
Panama,"-",175907,3173,151247
Jordan,"-",240089,3056,187444
Greece,"-",115471,3003,23074
"Bosnia and Herzegovina","-",94507,2952,58625
Honduras,"-",110723,2945,49311
Israel,"-",344798,2915,328734
Algeria,"-",87502,2501,56617
Kazakhstan,"-",179344,2488,151134
Moldova,"-",116365,2419,101244
"Dominican Republic","-",148453,2345,116873
Armenia,"-",141937,2326,116796
Croatia,"-",150353,2174,124439
Burma,"-",99155,2110,77636
Ireland,"-",74246,2099,23364
Serbia,"-",219652,1949,0
"North Macedonia","-",67968,1924,43646
Afghanistan,"-",47306,1874,37685
Paraguay,"-",87213,1833,61283
"Costa Rica","-",143685,1773,95789
Ethiopia,"-",113295,1747,80831
Slovenia,"-",85805,1744,63580
Azerbaijan,"-",146679,1632,88497
Nepal,"-",240981,1594,225805
Kenya,"-",88380,1526,68929
Georgia,"-",162475,1504,133511
Oman,"-",124886,1444,116354
Kyrgyzstan,"-",74973,1295,66993
Libya,"-",86580,1231,56702
Belarus,"-",147157,1207,124774
Nigeria,"-",68937,1180,64650
Kosovo,"-",42805,1106,28504
Lebanon,"-",135876,1090,88096
Slovakia,"-",116731,996,82666
Venezuela,"-",104177,916,98879
Albania,"-",42988,905,21617
Kuwait,"-",144369,891,140035
Denmark,"-",90603,885,70876
"West Bank and Gaza","-",98038,828,72773
Lithuania,"-",74649,626,30390
Uzbekistan,"-",73904,611,71173
"United Arab Emirates","-",176429,592,159132
Japan,Tokyo,43753,486,38383
Malaysia,"-",72694,382,61273
Bahrain,"-",87732,341,85876
Ghana,"-",52198,325,51019
Qatar,"-",139908,239,137276
Singapore,"-",58260,29,58158
Belgium,Antwerp,69720,0,0
Belgium,Brussels,77458,0,0
Belgium,"East Flanders",55899,0,0
Belgium,"Flemish Brabant",45070,0,0
Belgium,Hainaut,95030,0,0
Belgium,Liege,92690,0,0
Belgium,"West Flanders",46052,0,0
